14:06| INFO | Version.java 45 | HHH000412: Hibernate Core {5.2.12.Final}
14:06| INFO | Environment.java 213 | HHH000206: hibernate.properties not found
14:06| INFO | JavaReflectionManager.java 66 | HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
14:06| WARN | DriverManagerConnectionProviderImpl.java 70 | HHH10001002: Using Hibernate built-in connection pool (not for production use!)
14:06| INFO | DriverManagerConnectionProviderImpl.java 126 | HHH10001005: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://sql11.freesqldatabase.com:3306/sql11218101]
14:06| INFO | DriverManagerConnectionProviderImpl.java 135 | HHH10001001: Connection properties: {useUnicode=yes, user=sql11218101, password=****, characterEncoding=UTF-8}
14:06| INFO | DriverManagerConnectionProviderImpl.java 140 | HHH10001003: Autocommit mode: false
14:06| INFO | PooledConnections.java 41 | HHH000115: Hibernate connection pool size: 20 (min=1)
14:06| INFO | Dialect.java 157 | HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
14:06| INFO | DdlTransactionIsolatorNonJtaImpl.java 47 | HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@56897a5a] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
14:06| INFO | QueryTranslatorFactoryInitiator.java 47 | HHH000397: Using ASTQueryTranslatorFactory
14:06| INFO | DriverManagerConnectionProviderImpl.java 230 | HHH10001008: Cleaning up connection pool [jdbc:mysql://sql11.freesqldatabase.com:3306/sql11218101]
14:10| INFO | Version.java 45 | HHH000412: Hibernate Core {5.2.12.Final}
14:10| INFO | Environment.java 213 | HHH000206: hibernate.properties not found
14:10| INFO | JavaReflectionManager.java 66 | HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
14:10| WARN | DriverManagerConnectionProviderImpl.java 70 | HHH10001002: Using Hibernate built-in connection pool (not for production use!)
14:10| INFO | DriverManagerConnectionProviderImpl.java 126 | HHH10001005: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://sql11.freesqldatabase.com:3306/sql11218101]
14:10| INFO | DriverManagerConnectionProviderImpl.java 135 | HHH10001001: Connection properties: {useUnicode=yes, user=sql11218101, password=****, characterEncoding=UTF-8}
14:10| INFO | DriverManagerConnectionProviderImpl.java 140 | HHH10001003: Autocommit mode: false
14:10| INFO | PooledConnections.java 41 | HHH000115: Hibernate connection pool size: 20 (min=1)
14:11| INFO | Dialect.java 157 | HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
14:11| INFO | DdlTransactionIsolatorNonJtaImpl.java 47 | HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@13a76d71] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
14:11| INFO | QueryTranslatorFactoryInitiator.java 47 | HHH000397: Using ASTQueryTranslatorFactory
14:11| ERROR | ZTMFileParser.java 33 | D:\dos (Nie można odnaleźć określonego pliku)
14:11| INFO | DriverManagerConnectionProviderImpl.java 230 | HHH10001008: Cleaning up connection pool [jdbc:mysql://sql11.freesqldatabase.com:3306/sql11218101]
